path,filename,extension,is_dir,size_bytes,modified,md5_hash,is_duplicate,recommendation,confidence,comment
\mnt\e,,,True,0,2026-04-26T11:31:59.856131,,False,,,
\mnt\e\Program Files,,,True,0,2025-03-30T17:16:32.957149,,False,SKIP,0.99,Excluded by config
\mnt\e\Program Files (x86),,,True,0,2024-03-22T13:35:33.613089,,False,SKIP,0.99,Excluded by config
\mnt\e\ProgramData,,,True,0,2026-04-24T21:46:52.955850,,False,SKIP,0.99,Excluded by config
\mnt\e\System Volume Information,,,True,0,2026-04-24T22:00:49.047596,,False,SKIP,0.99,Excluded by config
\mnt\e\Windows,,,True,0,2026-04-24T21:21:17.627146,,False,SKIP,0.99,Excluded by config
\mnt\e\.GamingRoot,.GamingRoot,,False,28,2022-05-12T13:19:24.913093,4e2042aabd9ff2d19007754d03b09229,False,,,
\mnt\e\$Recycle.Bin,,,True,0,2020-12-12T13:08:35.131100,,False,,,
\mnt\e\$Recycle.Bin\S-1-5-18,,,True,0,,,False,REVIEW,0.0,INACCESSIBLE: Permission denied
\mnt\e\$Recycle.Bin\S-1-5-21-2835804653-2460275922-2022898011-1001,,,True,0,,,False,REVIEW,0.0,INACCESSIBLE: Permission denied
\mnt\e\$Recycle.Bin\S-1-5-21-2835804653-2460275922-2022898011-500,,,True,0,,,False,REVIEW,0.0,INACCESSIBLE: Permission denied
\mnt\e\$Recycle.Bin\S-1-5-21-399586242-1788302177-244003226-1000,,,True,0,2026-04-24T15:37:27.280647,,False,,,
\mnt\e\$SysReset,,,True,0,2020-12-06T18:45:10.869366,,False,,,
\mnt\e\$SysReset\ResetSession.xml,ResetSession.xml,.xml,False,1702,2020-12-06T18:45:10.869366,18f04f67cc251caa846db2782ab96aea,False,,,
\mnt\e\$SysReset\Rollback.xml,Rollback.xml,.xml,False,268,2020-12-06T18:44:09.371248,248bddf0e6c2cd7420e14fb0cadfe06d,False,,,
\mnt\e\$SysReset\Triggers.dat,Triggers.dat,.dat,False,173,2020-12-06T18:51:16.821512,8adf8171abbe99da99e26070603cda19,False,,,
\mnt\e\$SysReset\AppxLogs,,,True,0,2020-12-06T18:44:06.543735,,False,,,
\mnt\e\$SysReset\CloudImage,,,True,0,2020-12-06T18:34:14.987515,,False,,,
\mnt\e\$SysReset\Logs,,,True,0,2020-12-06T18:51:16.790268,,False,,,
\mnt\e\$SysReset\Logs\diagerr.xml,diagerr.xml,.xml,False,3813,2020-12-06T18:56:51.319996,6db505aea980137aa2e034fd4612cab1,False,,,
\mnt\e\$SysReset\Logs\diagwrn.xml,diagwrn.xml,.xml,False,4714,2020-12-06T18:56:51.319996,0ffa3fb07e1617336d1e03833d2f1a05,False,,,
\mnt\e\$SysReset\Logs\PushButtonReset.etl,PushButtonReset.etl,.etl,False,1835008,2020-12-06T18:56:51.318644,27c643a210fd7f3b945c3dfc83080c55,False,,,
\mnt\e\$SysReset\Logs\SessionID.xml,SessionID.xml,.xml,False,106,2020-12-06T18:34:15.018756,5c1b8f8d7512a1faaeec77bebcad5a11,False,,,
\mnt\e\$SysReset\Logs\Timestamp.xml,Timestamp.xml,.xml,False,43,2020-12-06T18:56:51.318644,ed229964481753d297748edb881522ab,False,,,
\mnt\e\$SysReset\MDM,,,True,0,2020-12-06T18:34:14.987515,,False,,,
\mnt\e\$SysReset\Scratch,,,True,0,2020-12-06T18:36:46.939398,,False,,,
\mnt\e\$WINDOWS.~BT,,,True,0,2026-04-24T21:35:21.799959,,False,,,
\mnt\e\$WINDOWS.~BT\Sources,,,True,0,2026-04-24T21:35:22.174915,,False,,,
\mnt\e\$WINDOWS.~BT\Sources\Diagnostics,,,True,0,2026-04-24T21:33:43.894894,,False,,,
\mnt\e\$WINDOWS.~BT\Sources\Diagnostics\diagnostics.dat,diagnostics.dat,.dat,False,276,2026-04-24T21:35:17.845149,ea2167a9cfa81ef7b2cd32268c5407e7,False,,,
\mnt\e\$WINDOWS.~BT\Sources\Panther,,,True,0,2026-04-24T21:35:18.185308,,False,,,
\mnt\e\$WINDOWS.~BT\Sources\Panther\Appraiser_InboxAlternateData.cab,Appraiser_InboxAlternateData.cab,.cab,False,2874543,2025-03-29T14:51:08.141926,852b079051f28328a7308378a1a5377c,False,,,
\mnt\e\$WINDOWS.~BT\Sources\Panther\CompatData_2026_04_24_21_33_50_00000021.xml,CompatData_2026_04_24_21_33_50_00000021.xml,.xml,False,2257,2026-04-24T21:33:50.798216,7dbf60dd55d5c5d93e16957ca8dd2edc,False,,,
\mnt\e\$WINDOWS.~BT\Sources\Panther\CompatData_2026_04_24_21_34_04_00000021.xml,CompatData_2026_04_24_21_34_04_00000021.xml,.xml,False,2339,2026-04-24T21:34:04.018280,d62524850def42a3360d5054c5b3dbe4,False,,,
